Ticker,Sector
APA,Energy
ARW,Technology
AVT,Technology
BA,Industrials
BAX,Healthcare
BBY,Consumer Cyclical
BMY,Healthcare
BWA,Consumer Cyclical
CAG,Consumer Defensive
CMCSA,Communication Services
COF,Financial Services
CPB,Consumer Defensive
CVS,Healthcare
D,Utilities
DAL,Industrials
DVN,Energy
EMN,Basic Materials
EXPE,Consumer Cyclical
FDX,Industrials
GIS,Consumer Defensive
HAL,Energy
HPQ,Technology
HST,Real Estate
INTC,Technology
IP,Consumer Cyclical
KHC,Consumer Defensive
KMI,Energy
LUV,Industrials
MET,Financial Services
NEE,Utilities
OMC,Communication Services
ORCL,Technology
OVV,Energy
OXY,Energy
PRU,Financial Services
SPG,Real Estate
SRE,Utilities
TECK,Basic Materials
TGT,Consumer Defensive
TSN,Consumer Defensive
VRZN,Communication Services
